"Variant and risk allele",P-value,"P-value annotation",RAF,OR,Beta,CI,"Mapped gene","Reported trait",Trait(s),"Background trait(s)","Study accession",Location
rs871392-<b>A</b>,"3 x 10-6","(HDL cholesterol)",0.15,'-,"0.26 mmol/L decrease",[0.15-0.37],LINC02400,"Biochemical measures","high density lipoprotein cholesterol measurement",'-,GCST000328,12:41778180
rs4599440-<b>A</b>,"2 x 10-6","(HDL cholesterol)",0.23,'-,"0.2 mmol/L increase",[0.12-0.28],LINC02271,"Biochemical measures","high density lipoprotein cholesterol measurement",'-,GCST000328,4:61100555
rs2593525-<b>C</b>,"2 x 10-6","(HDL )",0.01,'-,"0.03 mg/dL increase",[NR],"LINC00383, SRSF1P1","Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,13:69345267
rs11624164-<b>A</b>,"5 x 10-6","(HDL )",0.177,'-,"0.03 mg/dL increase",[NR],RAD51B,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,14:68519440
rs7726839-<b>G</b>,"1 x 10-6","(HDL )",0.282,'-,"0.03 mg/dL increase",[NR],CEP72,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,5:618471
rs352236-<b>G</b>,"2 x 10-6","(HDL )",0.01,'-,"0.03 mg/dL increase",[NR],SRSF1P1,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,13:69449553
rs7004587-<b>A</b>,"3 x 10-6","(HDL )",0.0070,'-,"0.02 mg/dL increase",[NR],'-,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,8:107028124
rs1893154-<b>A</b>,"3 x 10-6","(HDL )",0.401,'-,"0.03 mg/dL increase",[NR],ADCYAP1,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,18:905124
rs10969375-<b>G</b>,"6 x 10-6","(HDL )",0.14,'-,"0.02 mg/dL increase",[NR],ME2P1,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,9:29783991
rs11712263-<b>A</b>,"8 x 10-6","(HDL )",0.135,'-,"0.03 mg/dL increase",[NR],'-,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,"Mapping not available"
rs9296335-<b>A</b>,"8 x 10-6","(HDL )",0.033,'-,"0.03 mg/dL increase",[NR],LRFN2,"Obesity-related traits","high density lipoprotein cholesterol measurement",'-,GCST001762,6:40472761
SNP11-116799496-<b>C</b>,"1 x 10-12",(AA),.0016,'-,"0.409 unit increase",[NR],'-,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,"Mapping not available"
rs2366858-<b>C</b>,"6 x 10-10",(AA),0.173,'-,"0.0325 unit increase",[NR],"SEMA3C, CD36","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,7:80711306
rs1461729-<b>T</b>,"7 x 10-9",(AA),0.116,'-,"0.0355 unit decrease",[NR],"RNU6-1151P, RNU6-526P","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,8:9329732
rs326-<b>T</b>,"1 x 10-8",(AA),0.469,'-,"0.0221 unit increase",[NR],LPL,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,8:19961928
rs247617-<b>A</b>,"1 x 10-44",(AA),0.262,'-,"0.0619 unit increase",[NR],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,16:56956804
rs12979813-<b>T</b>,"2 x 10-9",(AA),0.495,'-,"0.0235 unit decrease",[NR],DOCK6,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,19:11232027
rs13046373-<b>C</b>,"4 x 10-6",(AA),0.391,'-,"0.0226 unit decrease",[NR],"KRTAP21-3, KRTAP20-3","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,21:30688172
rs964184-<b>G</b>,"3 x 10-12",(Hispanic),0.248,'-,"0.0459 unit decrease",[NR],ZPR1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,11:116778201
rs247617-<b>C</b>,"3 x 10-16",(Hispanic),0.298,'-,"0.0509 unit increase",[NR],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002043,16:56956804
rs1800775-<b>A</b>,"3 x 10-9",(HDL-C),0.4,'-,"0.04 unit increase",[0.020-0.060],"CETP, HERPUD1","Lipid traits","high density lipoprotein cholesterol measurement",'-,GCST002174,16:56961324
rs588136-<b>?</b>,"2 x 10-12",(HDL-C),0.69,'-,"0.05 unit decrease",[0.030-0.070],"LIPC-AS1, ALDH1A2, LIPC","Lipid traits","high density lipoprotein cholesterol measurement",'-,GCST002174,15:58438299
rs6685271-<b>?</b>,"1 x 10-10",,NR,'-,"0.0387 unit decrease",[0.027-0.051],TMED5,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,1:93169033
rs117350179-<b>?</b>,"3 x 10-8",,NR,'-,"0.0343 unit decrease",[0.022-0.046],PPARG,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,3:12332833
rs28366301-<b>?</b>,"8 x 10-11",,NR,'-,"0.03687 unit increase",[0.026-0.048],"HLA-DRB1, HLA-DQA1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,6:32593106
rs7778167-<b>?</b>,"2 x 10-11",,NR,'-,"0.05556 unit increase",[0.039-0.072],"LEP, MIR129-1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,7:128211575
rs7847628-<b>?</b>,"2 x 10-8",,NR,'-,"0.03203 unit decrease",[0.021-0.043],PHF19,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,9:120868947
rs7895716-<b>?</b>,"1 x 10-10",,NR,'-,"0.0353 unit increase",[0.025-0.046],EXOC6,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,10:93024020
rs4917630-<b>?</b>,"8 x 10-13",,NR,'-,"0.03894 unit decrease",[0.028-0.05],"GPAM, TECTB","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,10:112260072
rs2257129-<b>?</b>,"2 x 10-10",,NR,'-,"0.0365 unit decrease",[0.025-0.048],"RPL19P16, LINC01153","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,10:121139183
rs235314-<b>?</b>,"3 x 10-10",,NR,'-,"0.03324 unit decrease",[0.023-0.044],PTTG1IP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,21:44851537
rs2144300-<b>?</b>,"4 x 10-8",,NR,'-,"0.03663 unit increase",[0.024-0.05],GALNT2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,1:230159169
rs1358980-<b>?</b>,"3 x 10-9",,NR,'-,"0.0313 unit decrease",[0.021-0.042],"LINC02537, VEGFA","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,6:43796814
rs1026422-<b>?</b>,"5 x 10-10",,NR,'-,"0.03266 unit increase",[0.022-0.043],IKZF1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,7:50280211
rs189213544-<b>?</b>,"5 x 10-21",,NR,'-,"0.1447 unit increase",[0.11-0.17],"CD36, SEMA3C","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,7:80713459
rs325-<b>?</b>,"2 x 10-79",,NR,'-,"0.1483 unit increase",[0.13-0.16],LPL,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,8:19961817
rs3808447-<b>?</b>,"4 x 10-15",,NR,'-,"0.04848 unit increase",[0.036-0.061],TRPS1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,8:115563232
rs1883025-<b>?</b>,"3 x 10-76",,NR,'-,"0.1081 unit decrease",[0.097-0.12],ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,9:104902020
rs11236520-<b>?</b>,"8 x 10-9",,NR,'-,"0.04143 unit decrease",[0.027-0.056],"DGAT2, RN7SL786P","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,11:75749624
rs3741297-<b>?</b>,"3 x 10-157",,NR,'-,"0.2579 unit decrease",[0.24-0.28],ZPR1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,11:116786951
rs11067592-<b>?</b>,"5 x 10-18",,NR,'-,"0.08855 unit decrease",[0.068-0.109],"MVK, RN7SKP250","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:109631385
rs79105258-<b>?</b>,"2 x 10-80",,NR,'-,"0.1239 unit decrease",[0.11-0.14],CUX2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:111280427
rs28577594-<b>?</b>,"2 x 10-9",,NR,'-,"0.0366 unit decrease",[0.025-0.049],"RILPL2, KMT5A","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:123411359
rs67053123-<b>?</b>,"1 x 10-32",,NR,'-,"0.07064 unit increase",[0.059-0.082],SCARB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:124869264
rs76213020-<b>?</b>,"1 x 10-8",,NR,'-,"0.04521 unit increase",[0.03-0.061],GNG2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,14:51969287
rs2070895-<b>?</b>,"1 x 10-140",,NR,'-,"0.1322 unit increase",[0.12-0.14],"LIPC, ALDH1A2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,15:58431740
rs5167-<b>?</b>,"9 x 10-13",,NR,'-,"0.03734 unit decrease",[0.027-0.048],"APOC4-APOC2, APOC4","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,19:44945208
rs2740480-<b>?</b>,"2 x 10-20",,NR,'-,"0.04943 unit decrease",[0.039-0.06],ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,9:104800276
rs4149310-<b>?</b>,"2 x 10-28",,NR,'-,"0.06261 unit decrease",[0.051-0.074],ABCA1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,9:104826853
rs4743758-<b>?</b>,"2 x 10-10",,NR,'-,"0.03851 unit decrease",[0.027-0.05],NIPSNAP3A,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,9:104753533
rs34065661-<b>G</b>,"9 x 10-10",(Yoruban),0.093,'-,"0.468 unit increase",'-,CETP,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST006306,16:56962023
rs1800775-<b>A</b>,"7 x 10-8",(Filipino),0.392,'-,"0.195 unit increase",[0.12-0.27],"CETP, HERPUD1","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST006306,16:56961324
rs138777-<b>G</b>,"2 x 10-6",(Filipino),0.591,'-,"0.175 unit increase",[0.10-0.25],TOM1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST006306,22:35315105
rs1532085-<b>A</b>,"8 x 10-6",(Filipino),0.403,'-,"1.634 unit decrease",[1.56-1.70],ALDH1A2,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST006306,15:58391167
rs183130-<b>?</b>,"1 x 10-6",(Yoruban),NR,'-,'-,'-,"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST006470,16:56957451
rs56156922-<b>?</b>,"2 x 10-300",,NR,'-,"0.2656 unit increase",[0.25-0.28],"HERPUD1, CETP","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56953457
rs56303487-<b>?</b>,"3 x 10-19",,NR,'-,"0.06921 unit increase",[0.054-0.084],"DPEP2, DUS2","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:67995836
rs2925979-<b>?</b>,"7 x 10-13",,NR,'-,"0.03966 unit increase",[0.029-0.05],CMIP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:81501185
rs11082764-<b>?</b>,"6 x 10-51",,NR,'-,"0.07838 unit increase",[0.068-0.089],LIPG,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,18:49593209
rs429358-<b>?</b>,"2 x 10-24",,NR,'-,"0.08948 unit decrease",[0.072-0.107],APOE,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,19:44908684
rs76083992-<b>?</b>,"4 x 10-14",,NR,'-,"0.08508 unit decrease",[0.063-0.107],"PLTP, PCIF1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,20:45916159
rs7445-<b>?</b>,"1 x 10-14",,NR,'-,"0.04087 unit decrease",[0.03-0.051],UBE2L3,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,22:21622758
rs7483863-<b>?</b>,"8 x 10-36",,NR,'-,"0.07245 unit decrease",[0.061-0.084],ZPR1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,11:116781775
rs12718465-<b>?</b>,"8 x 10-13",,NR,'-,"0.0863 unit decrease",[0.063-0.11],"APOA1, APOA1-AS","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,11:116837020
rs525028-<b>?</b>,"4 x 10-17","(conditional on round 4)",NR,'-,"0.05190519 unit decrease",[0.04-0.064],"APOC3, APOA1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,11:116834800
rs2303790-<b>?</b>,"5 x 10-198",,NR,'-,"0.4241 unit increase",[0.4-0.45],CETP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56983380
rs9939224-<b>?</b>,"1 x 10-97",,NR,'-,"0.1861 unit decrease",[0.17-0.2],CETP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56968820
rs116893196-<b>?</b>,"3 x 10-59",,NR,'-,"0.1895 unit decrease",[0.17-0.21],CETP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56977043
rs77780456-<b>?</b>,"6 x 10-39",,NR,'-,"0.17 unit increase",[0.14-0.2],NUP93,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56815202
rs1801706-<b>?</b>,"4 x 10-8","(conditional on round 6)",NR,'-,"0.04579008 unit increase",[0.029-0.062],CETP,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,16:56983750
rs261291-<b>?</b>,"7 x 10-109",,NR,'-,"0.1158 unit increase",[0.11-0.13],ALDH1A2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,15:58387979
rs12903590-<b>?</b>,"9 x 10-38",,NR,'-,"0.06743 unit increase",[0.057-0.078],ALDH1A2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,15:58285578
rs13329672-<b>?</b>,"7 x 10-37",,NR,'-,"0.0965 unit increase",[0.082-0.111],ALDH1A2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,15:58407738
rs118146059-<b>?</b>,"2 x 10-21",,NR,'-,"0.1641 unit decrease",[0.13-0.2],ALDH1A2,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,15:58252574
rs73959590-<b>?</b>,"1 x 10-21",,NR,'-,"0.09239 unit decrease",[0.073-0.111],"LIPG, SMUG1P1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,18:49629818
rs12607275-<b>?</b>,"4 x 10-11","(conditional on round 3)",NR,'-,"0.03514981 unit decrease",[0.025-0.046],"ACAA2, SMUG1P1","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,18:49682755
rs2058804-<b>?</b>,"8 x 10-10","(conditional on round 2)",NR,'-,"0.035229813 unit increase",[0.024-0.046],KCTD10,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:109471206
rs11067829-<b>?</b>,"5 x 10-13",,NR,'-,"0.04469 unit decrease",[0.033-0.057],"RN7SKP250, FAM222A","High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:109679067
rs61005347-<b>?</b>,"1 x 10-11",,NR,'-,"0.07319 unit decrease",[0.052-0.094],SCARB1,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,12:124841232
rs13263508-<b>?</b>,"9 x 10-7",,NR,'-,"0.03603 unit increase",[0.022-0.05],RPL30P9,"High density lipoprotein cholesterol levels","high density lipoprotein cholesterol measurement",'-,GCST006005,8:20084670
exm279108-<b>A</b>,"1 x 10-6",,0.0698,'-,"0.049 unit decrease",[0.029-0.069],'-,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,"Mapping not available"
rs12678919-<b>G</b>,"3 x 10-10",,0.11,'-,"0.053 unit increase",[0.037-0.069],LPL,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,8:19986711
rs1883025-<b>A</b>,"3 x 10-7",,0.271,'-,"0.03 unit decrease",[0.018-0.042],ABCA1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,9:104902020
rs261334-<b>G</b>,"6 x 10-7",,0.213,'-,"0.031 unit increase",[0.019-0.043],"ALDH1A2, LIPC","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,15:58434545
rs247616-<b>A</b>,"2 x 10-23",,0.31,'-,"0.057 unit increase",[0.046-0.068],"HERPUD1, CETP","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,16:56955678
exm1417699-<b>A</b>,"3 x 10-7",,0.0622,'-,"0.057 unit decrease",[0.035-0.079],'-,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008987,"Mapping not available"
rs662799-<b>?</b>,"3 x 10-26",(additive),'-,'-,"2.47 unit decrease",[2.02-2.92],"APOA5, APOA4","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST005874,11:116792991
rs7115583-<b>T</b>,"4 x 10-8",,0.1506,'-,"1.3223 unit increase",[0.85-1.79],SIK3,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,11:116913660
rs11216315-<b>G</b>,"7 x 10-6",,0.13253333333333334,'-,"1.1667 unit increase",[0.66-1.68],PCSK7,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,11:117209924
rs4883839-<b>T</b>,"8 x 10-6",,0.28153333333333336,'-,"0.8519 unit increase",[0.48-1.23],"LINC00383, SNRPFP3","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,13:69146562
rs6497373-<b>A</b>,"8 x 10-6",,0.1571,'-,"1.0449 unit decrease",[0.59-1.5],TMC5,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,16:19449520
rs11082766-<b>T</b>,"7 x 10-7",,0.2661,'-,"0.9637 unit increase",[0.58-1.34],"SMUG1P1, LIPG","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,18:49606094
rs6508974-<b>C</b>,"1 x 10-6",,0.3679666666666666,'-,"0.8663 unit increase",[0.52-1.21],AXL,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,19:41227240
rs6046295-<b>A</b>,"4 x 10-6",,0.050214999999999996,'-,"1.5842 unit increase",[0.91-2.26],"SLC24A3, RIN2","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST008141,20:19746394
rs1883025-<b>T</b>,"2 x 10-65",,0.25,'-,"0.07 unit decrease",[NR],ABCA1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,9:104902020
rs4148008-<b>G</b>,"1 x 10-12",,0.33,'-,"0.028 unit decrease",[NR],ABCA8,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,17:68879153
rs17404153-<b>T</b>,"5 x 10-9",,0.14,'-,"0.028 unit decrease",[NR],DNAJC13,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,3:132444356
rs2602836-<b>A</b>,"5 x 10-8",,0.44,'-,"0.019 unit increase",[NR],"ADH5, ADH4","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,4:99093654
rs2923084-<b>G</b>,"5 x 10-8",,0.18,'-,"0.026 unit decrease",[NR],AMPD3,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,11:10367235
rs4650994-<b>G</b>,"7 x 10-9",,0.49,'-,"0.021 unit increase",[NR],"TEX35, C1orf220","HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,1:178546177
rs7255436-<b>C</b>,"2 x 10-8",,0.47,'-,"0.032 unit decrease",[NR],ANGPTL4,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,19:8368312
rs737337-<b>C</b>,"5 x 10-17",,0.11,'-,"0.056 unit decrease",[NR],DOCK6,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,19:11236817
rs964184-<b>C</b>,"6 x 10-48",,0.84,'-,"0.106 unit increase",[NR],ZPR1,"HDL cholesterol","high density lipoprotein cholesterol measurement",'-,GCST002223,11:116778201
